127.0.0.1 - - [11/Mar/2019:13:01:42 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:01:43 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/login.jsp HTTP/1.1" 200 2171
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "POST /20151104697_zhongyangyang_GraduationDesign/Loginservlet HTTP/1.1" 200 24533
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/layui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/huaweimate.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/icon_gou.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/img12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:00 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:01 +0800] "GET /res/static/js/util/mm.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:01 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/font/iconfont.eot?v=240 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:01 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/us-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:03 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/about.html HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:05 +0800] "GET /res/static/js/util/mm.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:13 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/buytoday.html HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:02:15 +0800] "GET /res/static/js/util/mm.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "POST /20151104697_zhongyangyang_GraduationDesign/Loginservlet HTTP/1.1" 200 24519
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/layui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img2.jpg HTTP/1.1" 304 -
